綜合評分,日文店名,英文店名,Blog
4.79,日本橋蛎殻町 すぎた,Sugita,https://tabelog.com/tw/tokyo/A1302/A130204/13018162/
4.76,松川,Matsukawa,https://tabelog.com/tw/tokyo/A1307/A130701/13124391/
4.75,銀座 しのはら,Shinohara,https://tabelog.com/tw/tokyo/A1301/A130101/13200949/
4.73,エクアトゥール,Restaurant l'equateur,https://tabelog.com/tw/tokyo/A1307/A130702/13121866/
4.70,SUGALABO,SUGALABO,https://tabelog.com/tw/tokyo/A1307/A130704/13182678/
4.69,鮨 さいとう,Saito,https://tabelog.com/tw/tokyo/A1308/A130802/13015251/
4.68,京味,Kyoaji,https://tabelog.com/tw/tokyo/A1301/A130103/13002887/
4.67,フルタ,Furuta,https://tabelog.com/tw/tokyo/A1313/A131301/13176780/
4.67,ペレグリーノ,PELLEGRINO,https://tabelog.com/tw/tokyo/A1303/A130302/13072775/
4.66,CHIUnE,CHIUnE,https://tabelog.com/tw/tokyo/A1301/A130101/13203796/
4.65,カンテサンス,Quintessence,https://tabelog.com/tw/tokyo/A1314/A131405/13159567/
4.63,鮨 なんば 日比谷,Sushinamba,https://tabelog.com/tw/tokyo/A1301/A130102/13219857/
4.62,ete,été,https://tabelog.com/tw/tokyo/A1303/A130301/13185038/
4.61,レフェルヴェソンス,L'Effervescence,https://tabelog.com/tw/tokyo/A1306/A130602/13116356/
4.61,長谷川 稔,Hasegawaminoru,https://tabelog.com/tw/tokyo/A1307/A130703/13220575/
4.60,鮨 はしぐち,Hashiguchi,https://tabelog.com/tw/tokyo/A1308/A130801/13134517/
4.59,初音鮨,Hatsunezushi,https://tabelog.com/tw/tokyo/A1315/A131503/13017742/
4.59,東麻布 天本,Amamoto,https://tabelog.com/tw/tokyo/A1314/A131401/13196420/
4.58,ボニュ,Bon.nu,https://tabelog.com/tw/tokyo/A1304/A130401/13184186/
4.58,たきや,Takiya,https://tabelog.com/tw/tokyo/A1307/A130702/13185763/
4.57,井雪,Iyuki,https://tabelog.com/tw/tokyo/A1301/A130101/13030881/
4.56,鳥しき,Torishiki,https://tabelog.com/tw/tokyo/A1316/A131601/13041029/
4.56,鮨 あらい,Arai,https://tabelog.com/tw/tokyo/A1301/A130101/13188186/
4.56,新ばし 星野,Hoshino,https://tabelog.com/tw/tokyo/A1314/A131401/13136847/
4.55,かぶと,Kabuto,https://tabelog.com/tw/tokyo/A1305/A130501/13016660/
4.54,三谷,Mitani,https://tabelog.com/tw/tokyo/A1309/A130902/13042204/
4.54,鮨 尚充,Takamitsu,https://tabelog.com/tw/tokyo/A1317/A131701/13128483/
4.54,御料理 宮坂,Miyasaka,https://tabelog.com/tw/tokyo/A1306/A130602/13184986/
4.52,ロオジエ,L'OSIER,https://tabelog.com/tw/tokyo/A1301/A130101/13002607/
4.52,茶禅華,Sazenka,https://tabelog.com/tw/tokyo/A1307/A130703/13205298/
4.52,と村,Tomura,https://tabelog.com/tw/tokyo/A1308/A130802/13005027/
4.51,すし 喜邑,Kimura,https://tabelog.com/tw/tokyo/A1317/A131708/13026584/
4.51,趙楊,Choyo,https://tabelog.com/tw/tokyo/A1301/A130103/13172920/
4.51,くすのき,Kusunoki,https://tabelog.com/tw/tokyo/A1309/A130902/13223239/
4.50,まき村,Makimura,https://tabelog.com/tw/tokyo/A1315/A131502/13003338/
4.49,ガストロノミー ジョエル・ロブション,Joel Robuchon,https://tabelog.com/tw/tokyo/A1303/A130302/13009310/
4.49,日本料理 晴山,SEIZAN,https://tabelog.com/tw/tokyo/A1314/A131402/13127807/
4.49,味満ん,Ajiman,https://tabelog.com/tw/tokyo/A1307/A130701/13001332/
4.48,エスキス,ESqUISSE,https://tabelog.com/tw/tokyo/A1301/A130101/13142530/
4.48,虎白,Kohaku,https://tabelog.com/tw/tokyo/A1309/A130905/13049130/
4.47,TACUBO,TACUBO,https://tabelog.com/tw/tokyo/A1303/A130303/13109940/
4.47,さわ田,Sawada,https://tabelog.com/tw/tokyo/A1301/A130101/13001043/
4.47,紀茂登,Kimoto,https://tabelog.com/tw/tokyo/A1309/A130905/13226856/
4.46,すし匠,Sushi Sho,https://tabelog.com/tw/tokyo/A1309/A130902/13000852/
4.46,鮨 なんば 阿佐ヶ谷,Namba,https://tabelog.com/tw/tokyo/A1319/A131905/13127515/
4.45,豪龍久保,Goryukubo,https://tabelog.com/tw/tokyo/A1306/A130602/13156859/
4.44,炭焼 金竜山,Kinryusan,https://tabelog.com/tw/tokyo/A1316/A131602/13001625/
4.44,赤坂 詠月,Eigetsu,https://tabelog.com/tw/tokyo/A1308/A130801/13116523/
4.43,神楽坂 石かわ,Ishikawa,https://tabelog.com/tw/tokyo/A1309/A130905/13004079/
4.43,活鰻の店 つぐみ庵,Tsugumian,https://tabelog.com/tw/tokyo/A1323/A132301/13080463/
4.41,虎峰,Koho,https://tabelog.com/tw/tokyo/A1307/A130701/13194122/
